Date,Open,High,Low,Close,Adj Close,Volume
2021-11-29,676.000000,678.780029,604.299988,616.530029,616.530029,12249000
2021-12-06,617.469971,655.719971,605.729980,654.450012,654.450012,14953400
2021-12-13,652.770020,675.210022,545.140015,556.640015,556.640015,33012800
2021-12-20,545.609985,572.570007,538.049988,569.619995,569.619995,14219700
2021-12-27,575.039978,582.880005,562.780029,567.059998,567.059998,9718100
2022-01-03,566.650024,575.000000,504.000000,510.700012,510.700012,22121300
2022-01-10,500.000000,541.590027,497.010010,520.599976,520.599976,17820000
2022-01-17,510.390015,532.030029,499.269989,499.910004,499.910004,13931100
2022-01-24,491.070007,520.489990,480.619995,518.159973,518.159973,26243400
2022-01-31,518.979980,540.460022,503.769989,513.539978,513.539978,14439000
2022-02-07,516.000000,522.479980,472.899994,473.970001,473.970001,18631000
2022-02-14,473.200012,482.529999,441.769989,442.559998,442.559998,20081000
2022-02-21,440.350006,468.519989,416.809998,465.540009,465.540009,17869100
2022-02-28,462.399994,479.209991,447.000000,452.130005,452.130005,15261500
2022-03-07,456.220001,457.679993,415.429993,416.380005,416.380005,17473400
2022-03-14,413.359985,453.739990,407.940002,453.329987,453.329987,20529100
2022-03-21,451.420013,471.980011,416.470001,431.619995,431.619995,31888900
2022-03-28,433.420013,467.799988,433.149994,458.190002,458.190002,19545300
2022-04-04,461.040009,473.489990,439.570007,445.339996,445.339996,14299800
2022-04-11,438.809998,444.440002,420.029999,420.440002,420.440002,10807000
2022-04-18,419.399994,442.440002,408.019989,408.670013,408.670013,12240700
2022-04-25,405.700012,414.269989,394.640015,395.950012,395.950012,14896700
2022-05-02,397.130005,424.230011,382.820007,391.010010,391.010010,15566400
2022-05-09,381.950012,409.989990,370.269989,405.450012,405.450012,20908800
2022-05-16,399.739990,416.720001,385.619995,399.089996,399.089996,14405400
2022-05-23,404.010010,428.549988,391.040009,428.220001,428.220001,13674900
2022-05-30,427.220001,441.899994,412.790009,429.760010,429.760010,17125100
2022-06-06,437.589996,440.000000,390.190002,393.839996,393.839996,11943600
2022-06-13,377.359985,385.649994,338.000000,360.790009,360.790009,26836900
2022-06-20,355.019989,388.059998,353.510010,387.720001,387.720001,14351300
2022-06-27,388.799988,389.390015,357.559998,368.480011,368.480011,11994100
2022-07-04,363.500000,392.070007,359.820007,389.440002,389.440002,9384800
2022-07-11,386.570007,391.519989,361.459991,379.859985,379.859985,11052500
2022-07-18,383.829987,414.619995,374.010010,401.899994,401.899994,11013900
2022-07-25,400.109985,411.380005,378.160004,410.119995,410.119995,12478500
2022-08-01,406.510010,434.540009,402.250000,433.429993,433.429993,11706000
2022-08-08,435.000000,446.000000,424.619995,445.670013,445.670013,10720700
2022-08-15,445.070007,451.149994,424.619995,425.059998,425.059998,9947300
2022-08-22,419.410004,419.790009,380.500000,381.019989,381.019989,12013200
2022-08-29,380.089996,382.859985,361.720001,368.140015,368.140015,12464100
2022-09-05,367.230011,396.089996,365.369995,394.779999,394.779999,10225600
2022-09-12,391.089996,396.390015,292.140015,299.500000,299.500000,52822600
2022-09-19,294.880005,299.279999,280.059998,284.559998,284.559998,28452200
2022-09-26,286.029999,288.899994,274.730011,275.200012,275.200012,27856300
2022-10-03,278.269989,305.500000,277.000000,288.769989,288.769989,20096800
2022-10-10,289.750000,298.170013,276.600006,287.940002,287.940002,17460700
2022-10-17,297.450012,309.190002,286.809998,306.369995,306.369995,22882600
2022-10-24,308.429993,330.579987,306.200012,325.679993,325.679993,18718300
2022-10-31,323.489990,325.579987,278.230011,285.750000,285.750000,19835300
2022-11-07,288.970001,342.309998,287.570007,341.149994,341.149994,20601700
2022-11-14,338.070007,350.970001,329.140015,330.859985,330.859985,14697600
2022-11-21,329.529999,338.500000,320.200012,334.299988,334.299988,9232300
2022-11-28,335.829987,345.029999,323.670013,344.929993,344.929993,9685200
2022-12-01,348.029999,350.670013,341.500000,344.109985,344.109985,3364366
