Date,Open,High,Low,Close,Adj Close,Volume
2021-11-29,386.899994,390.946655,333.403320,338.323334,338.323334,233887200
2021-12-06,333.836670,357.459991,316.833344,339.010010,339.010010,298756800
2021-12-13,333.696655,335.000000,303.013336,310.856659,310.856659,407779800
2021-12-20,303.566681,357.660004,295.373322,355.666656,355.666656,314345400
2021-12-27,357.890015,373.000000,351.049988,352.260010,352.260010,275398500
2022-01-03,382.583344,402.666656,336.666656,342.320007,342.320007,458800800
2022-01-10,333.333344,371.866669,326.666656,349.869995,349.869995,411751500
2022-01-17,342.203339,356.929993,313.500000,314.633331,314.633331,316090500
2022-01-24,301.586670,329.230011,264.003326,282.116669,282.116669,624927600
2022-01-31,290.903320,314.566681,287.350006,307.773346,307.773346,396848100
2022-02-07,307.929993,315.923340,283.566681,286.666656,286.666656,309755700
2022-02-14,287.190002,308.809998,279.203339,285.660004,285.660004,300017100
2022-02-21,278.043335,285.576660,233.333328,269.956665,269.956665,389934900
2022-02-28,271.670013,296.626678,271.570007,279.429993,279.429993,377040300
2022-03-07,285.433319,288.713318,260.723328,265.116669,265.116669,337762800
2022-03-14,260.203339,302.616669,252.013336,301.796661,301.796661,389019300
2022-03-21,304.993347,346.899994,302.363342,336.880005,336.880005,439478700
2022-03-28,355.033325,371.589996,351.200012,361.529999,361.529999,339241800
2022-04-04,363.126678,384.290009,340.513336,341.829987,341.829987,385920300
2022-04-11,326.799988,342.079987,324.366669,328.333344,328.333344,238876500
2022-04-18,329.676666,364.073334,324.470001,335.016663,335.016663,347387100
2022-04-25,326.323334,336.206665,273.899994,290.253326,290.253326,494512800
2022-05-02,286.923340,318.500000,281.036682,288.549988,288.549988,386556900
2022-05-09,278.816681,281.876678,226.666672,256.529999,256.529999,504900300
2022-05-16,255.720001,256.586670,211.000000,221.300003,221.300003,489416400
2022-05-23,218.339996,253.266663,206.856674,253.210007,253.210007,465433500
2022-05-30,257.946655,264.209991,233.416672,234.516663,234.516663,385029300
2022-06-06,244.353333,255.546661,227.913330,232.229996,232.229996,427251600
2022-06-13,223.166672,235.663330,208.693329,216.759995,216.759995,519920400
2022-06-20,224.603333,246.833328,224.333328,245.706665,245.706665,423873900
2022-06-27,249.366669,252.070007,218.863327,227.263336,227.263336,431527500
2022-07-04,223.000000,254.979996,216.166672,250.763336,250.763336,340219500
2022-07-11,252.103333,253.063339,225.033340,240.066666,240.066666,433367100
2022-07-18,244.936661,280.786682,236.976669,272.243347,272.243347,497796900
2022-07-25,272.216675,298.320007,256.263336,297.149994,297.149994,399040200
2022-08-01,301.276672,313.606659,285.543335,288.170013,288.170013,478140600
2022-08-08,295.000000,305.200012,279.353333,300.029999,300.029999,429969600
2022-08-15,301.786682,314.666656,292.500000,296.666656,296.666656,355157400
2022-08-22,291.913330,303.646667,286.296661,288.089996,288.089996,287481800
2022-08-29,282.829987,288.480011,266.149994,270.209991,270.209991,249690900
2022-09-05,272.679993,299.850006,265.739990,299.679993,299.679993,213940100
2022-09-12,300.720001,309.119995,290.399994,303.350006,303.350006,341416200
2022-09-19,300.089996,313.799988,272.820007,275.329987,275.329987,318723500
2022-09-26,271.829987,289.000000,262.470001,265.250000,265.250000,320014100
2022-10-03,254.500000,257.500000,222.020004,223.070007,223.070007,448139900
2022-10-10,223.929993,226.990005,204.160004,204.990005,204.990005,397406400
2022-10-17,210.039993,229.820007,202.000000,214.440002,214.440002,415404100
2022-10-24,205.820007,233.809998,198.589996,228.520004,228.520004,412758400
2022-10-31,226.190002,237.399994,203.080002,207.470001,207.470001,342305300
2022-11-07,208.649994,208.899994,177.119995,195.970001,195.970001,596714800
2022-11-14,192.770004,200.820007,176.550003,180.190002,180.190002,390328900
2022-11-21,175.850006,185.199997,166.190002,182.860001,182.860001,331544400
2022-11-28,179.960007,194.759995,178.750000,194.699997,194.699997,285085500
2022-12-01,197.080002,198.919098,191.800003,194.699997,194.699997,78857570
